epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.443,1.63391,1.14782,1.06622,0.69596,0.51689,0.55661,0.25704,1.85563,0.96442,1.07781,0.000333127,0.000333127,0.0670204
2,772.162,1.559,0.99357,1.03613,0.71641,0.55379,0.60709,0.31573,1.56922,0.92548,1.0048,0.000653265,0.000653265,0.0340072
3,1138.19,1.52791,0.95004,1.02162,0.71673,0.58641,0.63095,0.33526,1.50543,0.85497,0.98544,0.000960202,0.000960202,0.000980804
4,1502.29,1.49589,0.91599,1.00888,0.74367,0.58901,0.64826,0.34565,1.49332,0.83743,0.97722,0.0009406,0.0009406,0.0009406
5,1871.51,1.48889,0.89473,1.00429,0.74415,0.60658,0.6556,0.35253,1.45405,0.80474,0.96939,0.0009208,0.0009208,0.0009208
6,2229.93,1.45352,0.86307,0.99723,0.75387,0.60452,0.66199,0.35947,1.43153,0.79487,0.96776,0.000901,0.000901,0.000901
7,2589.24,1.43169,0.84649,0.9876,0.7463,0.59487,0.65852,0.3655,1.39223,0.77679,0.95994,0.0008812,0.0008812,0.0008812
8,2956.29,1.42476,0.8347,0.98584,0.7552,0.60893,0.66771,0.37494,1.35496,0.75479,0.94865,0.0008614,0.0008614,0.0008614
9,3314.55,1.41342,0.81573,0.98328,0.76209,0.61382,0.67364,0.37869,1.35668,0.76263,0.94648,0.0008416,0.0008416,0.0008416
10,3675.13,1.40626,0.81247,0.97784,0.75558,0.62361,0.67986,0.37771,1.36097,0.74703,0.94952,0.0008218,0.0008218,0.0008218
11,4044.34,1.39746,0.8,0.97661,0.75161,0.62277,0.68204,0.38391,1.33447,0.75248,0.94508,0.000802,0.000802,0.000802
12,4415.29,1.39092,0.79035,0.97406,0.773,0.62932,0.69365,0.38525,1.35636,0.74394,0.94583,0.0007822,0.0007822,0.0007822
13,4782.3,1.36974,0.78182,0.96928,0.77676,0.62348,0.68453,0.38075,1.37623,0.73338,0.9485,0.0007624,0.0007624,0.0007624
14,5140.69,1.36137,0.77065,0.96816,0.77131,0.63626,0.69551,0.38604,1.3827,0.7451,0.94857,0.0007426,0.0007426,0.0007426
15,5502.71,1.36055,0.76438,0.96706,0.77848,0.64349,0.70528,0.39988,1.32764,0.71226,0.93838,0.0007228,0.0007228,0.0007228
16,5870.4,1.35524,0.76373,0.96311,0.78603,0.6382,0.70499,0.39402,1.34942,0.72006,0.94316,0.000703,0.000703,0.000703
17,6234.6,1.34665,0.75372,0.96117,0.78365,0.63642,0.70322,0.39504,1.35268,0.72029,0.94071,0.0006832,0.0006832,0.0006832
18,6592.56,1.34327,0.75196,0.95791,0.77731,0.63755,0.70288,0.39643,1.32987,0.71349,0.93749,0.0006634,0.0006634,0.0006634
19,6950.87,1.336,0.7397,0.95742,0.78616,0.64257,0.70785,0.40569,1.30085,0.70604,0.93075,0.0006436,0.0006436,0.0006436
20,7307.77,1.32686,0.73455,0.95514,0.7879,0.64647,0.71326,0.40512,1.32549,0.70436,0.93718,0.0006238,0.0006238,0.0006238
21,7670.64,1.32646,0.73287,0.95321,0.788,0.64714,0.71358,0.40807,1.30792,0.70207,0.93262,0.000604,0.000604,0.000604
22,8030.27,1.31588,0.72315,0.9508,0.7883,0.65186,0.71673,0.40885,1.30356,0.69539,0.93072,0.0005842,0.0005842,0.0005842
23,8405.08,1.32078,0.72362,0.95218,0.78303,0.65693,0.71627,0.40366,1.33358,0.69609,0.93592,0.0005644,0.0005644,0.0005644
24,8781.74,1.31255,0.71628,0.95104,0.78697,0.65311,0.71576,0.40783,1.31605,0.69476,0.93212,0.0005446,0.0005446,0.0005446
25,9145.38,1.30337,0.71269,0.94909,0.79231,0.6499,0.71544,0.40118,1.35046,0.70021,0.93684,0.0005248,0.0005248,0.0005248
26,9503.57,1.29909,0.70715,0.94286,0.79385,0.654,0.71842,0.40045,1.36807,0.69608,0.94019,0.000505,0.000505,0.000505
27,9866.53,1.29554,0.70102,0.94472,0.79923,0.65886,0.725,0.41731,1.29405,0.67624,0.92865,0.0004852,0.0004852,0.0004852
28,10242.4,1.29074,0.6996,0.94313,0.80066,0.65737,0.72244,0.40868,1.32669,0.68592,0.93275,0.0004654,0.0004654,0.0004654
29,10617.2,1.289,0.69642,0.94299,0.79673,0.65932,0.72534,0.41076,1.31218,0.68351,0.93081,0.0004456,0.0004456,0.0004456
30,10978.5,1.28686,0.69579,0.93874,0.802,0.66092,0.72786,0.4182,1.28233,0.67209,0.92488,0.0004258,0.0004258,0.0004258
31,11337.2,1.27867,0.68827,0.94041,0.80659,0.65862,0.72695,0.41664,1.30856,0.6741,0.92985,0.000406,0.000406,0.000406
32,11695.3,1.27422,0.68417,0.93949,0.80256,0.6645,0.73032,0.4208,1.29074,0.66538,0.92563,0.0003862,0.0003862,0.0003862
33,12056.3,1.2706,0.6794,0.93608,0.80239,0.66646,0.73108,0.41646,1.31667,0.67151,0.93002,0.0003664,0.0003664,0.0003664
34,12415.6,1.26805,0.67616,0.93407,0.80733,0.66115,0.72982,0.41375,1.31725,0.67277,0.92848,0.0003466,0.0003466,0.0003466
35,12773.8,1.26158,0.67344,0.93628,0.80422,0.66694,0.73334,0.41712,1.31603,0.66746,0.92879,0.0003268,0.0003268,0.0003268
36,13132.2,1.25962,0.6736,0.93009,0.80496,0.66646,0.735,0.42369,1.28947,0.66674,0.92498,0.000307,0.000307,0.000307
37,13491.4,1.25075,0.66617,0.92924,0.80357,0.66229,0.73328,0.42563,1.27097,0.66117,0.92145,0.0002872,0.0002872,0.0002872
38,13849.9,1.24952,0.66258,0.93078,0.81197,0.66853,0.73733,0.42534,1.2761,0.66146,0.92093,0.0002674,0.0002674,0.0002674
39,14209.6,1.24984,0.66385,0.92917,0.80709,0.67036,0.73517,0.42358,1.28524,0.65534,0.9229,0.0002476,0.0002476,0.0002476
40,14568.7,1.23629,0.65619,0.92511,0.80745,0.67157,0.73737,0.42561,1.28273,0.65646,0.92133,0.0002278,0.0002278,0.0002278
41,14914.7,1.2186,0.6402,0.92555,0.80612,0.67151,0.73794,0.42751,1.27047,0.65436,0.9185,0.000208,0.000208,0.000208
42,15261.2,1.21561,0.63864,0.92396,0.80301,0.67279,0.73628,0.42507,1.27917,0.65535,0.92093,0.0001882,0.0001882,0.0001882
43,15608.4,1.2122,0.63458,0.92015,0.80487,0.67494,0.73915,0.42385,1.29917,0.65832,0.92362,0.0001684,0.0001684,0.0001684
44,15961.7,1.20542,0.62943,0.92178,0.81017,0.67541,0.73964,0.42741,1.27585,0.65183,0.92057,0.0001486,0.0001486,0.0001486
45,16324,1.20134,0.62663,0.91933,0.80906,0.67147,0.73803,0.42385,1.29343,0.65596,0.9231,0.0001288,0.0001288,0.0001288
46,16672.3,1.19451,0.62073,0.91807,0.80607,0.67781,0.7422,0.42801,1.28209,0.6532,0.9205,0.000109,0.000109,0.000109
47,17026.2,1.19696,0.61992,0.91797,0.80806,0.67828,0.7417,0.42988,1.26859,0.64986,0.91859,8.92e-05,8.92e-05,8.92e-05
48,17377.4,1.18928,0.61472,0.916,0.81247,0.67392,0.74153,0.42979,1.27361,0.64717,0.91942,6.94e-05,6.94e-05,6.94e-05
49,17731,1.18441,0.61234,0.91375,0.81237,0.67545,0.7421,0.43243,1.26078,0.64476,0.91736,4.96e-05,4.96e-05,4.96e-05
50,18089.9,1.18585,0.61205,0.91367,0.81323,0.67376,0.74079,0.43032,1.26631,0.64661,0.91756,2.98e-05,2.98e-05,2.98e-05
